plugin_esbackendsearch,ES Backend Search
plugin_esbackendsearch_field,Field
plugin_esbackendsearch_condition,Condition
plugin_esbackendsearch_term,Term
plugin_esbackendsearch_operator,Operator
plugin_esbackendsearch_language,Language
plugin_esbackendsearch_subclass, Class
plugin_esbackendsearch_filter, Filter
plugin_esbackendsearch_filters, Filters
plugin_esbackendsearch_type, Type
plugin_esbackendsearch_ids, IDs
plugin_esbackendsearch_results, Results
plugin_esbackendsearch_fulltextterm, Search Term
plugin_esbackendsearch_save_and_share, Save And Share
plugin_esbackendsearch_share, Sharing
plugin_esbackendsearch_combine_entries_with, Combine Entries with
plugin_esbackendsearch_combine_entries_with_must, MUST
plugin_esbackendsearch_combine_entries_with_should, SHOULD
plugin_esbackendsearch_group,Group
plugin_esbackendsearch_save_success,Search saved successfully
plugin_esbackendsearch_save_error,Error occurred during save search
plugin_esbackendsearch_category, Category
plugin_esbackendsearch_open_saved_searches, Open saved Searches
plugin_es_search, ES Backend Search
plugin_esbackendsearch_new, New
plugin_esbackendsearch_search, Open existing Saved Search
plugin_esbackendsearch_share, Sharing
plugin_esbackendsearch_users, Users
plugin_esbackendsearch_owner, Owner
plugin_esbackendsearch_save_as_copy, Save as Copy
plugin_esbackendsearch_name_copy_suffix, (copy)
plugin_esbackendsearch_delete_error, Error during deleting Saved Search
plugin_esbackendsearch_delete_really, Do you really want to delete the Saved Search?
plugin_esbackendsearch_add_to_shortcuts, Add To Short Cuts
plugin_esbackendsearch_remove_from_shortcuts, Remove From Short Cuts
plugin_esbackendsearch_short_cut_error, Cannot add short cut for not saved search
